extra/perl-http-cookies 6.01-2 [installed]
extra/perl-http-daemon 6.01-2 [installed]
extra/perl-http-date 6.02-2 [installed]
extra/perl-http-message 6.11-2 [installed]
extra/perl-http-negotiate 6.01-2 [installed]
extra/perl-io-html 1.001-1 [installed]
extra/perl-io-socket-ssl 2.044-1 [installed]
extra/perl-ipc-system-simple 1.25-1 [installed]
extra/perl-libwww 6.15-1 [installed]
extra/perl-lwp-mediatypes 6.02-2 [installed]
extra/perl-lwp-protocol-https 6.06-2 [installed]
community/perl-net-dbus 1.1.0-3 [installed]
extra/perl-net-http 6.12-1 [installed]
extra/perl-net-ssleay 1.80-1 [installed]
community/perl-parse-yapp 1.05-6 [installed]
extra/perl-text-iconv 1.7-11 [installed]
extra/perl-uri 1.71-1 [installed]
extra/perl-www-robotrules 6.02-2 [installed]
community/perl-x11-protocol 0.56-6 [installed]
extra/perl-xml-parser 2.44-3 [installed]
extra/perl-xml-twig 3.52-1 [installed]
core/pinentry 1.0.0-1 [installed]
community/pinta 1.6-2 [installed]
extra/pixman 0.34.0-1 [installed]
core/pkg-config 0.29.1-2 (base-devel) [installed]
community/playonlinux 4.2.10-1 [installed]
extra/polkit 0.113+29+g3272a98-1 [installed]
extra/poppler-data 0.4.7-1 [installed]
core/popt 1.16-8 [installed]
extra/postgresql-libs 9.6.1-3 [installed]
core/procps-ng 3.3.12-1 (base) [installed]
core/psmisc 22.21-3 (base) [installed]
extra/pulseaudio 10.0-2 [installed]
extra/pulseaudio-alsa 2-3 [installed]
extra/pygobject-devel 3.22.0-2 [installed]
extra/pygobject2-devel 2.28.6-13 [installed]
extra/pygtk 2.24.0-6 [installed]
extra/pyqt5-common 5.7.1-3 [installed]
extra/python 3.6.0-2 [installed]
extra/python-dbus 1.2.4-2 [installed]
extra/python-dbus-common 1.2.4-2 [installed]
community/python-gnuplot 1.8-6 [installed]
extra/python-gobject 3.22.0-2 [installed]
extra/python-numpy 1.11.3-1 [installed]
extra/python-pyqt5 5.7.1-3 [installed]
extra/python-sip 4.19-1 [installed]
extra/python2 2.7.13-1 [installed]
extra/python2-appdirs 1.4.0-5 [installed]
extra/python2-cairo 1.10.0-2 [installed]
extra/python2-dbus 1.2.4-2 [installed]
extra/python2-gobject2 2.28.6-13 [installed]
extra/python2-nose 1.3.7-3 [installed]
extra/python2-numpy 1.11.3-1 [installed]
extra/python2-packaging 16.8-2 [installed]
extra/python2-pip 9.0.1-2 [installed]
extra/python2-pyparsing 2.1.10-2 [installed]
extra/python2-setuptools 1:34.1.0-1 [installed]
extra/python2-six 1.10.0-3 [installed]
extra/python2-xdg 0.25-4 [installed]
multilib/q4wine 1.3.4-1 [installed]
extra/qhull 2015.2-1 [installed]
extra/qscintilla-qt5 2.9.3-2 [installed]
extra/qt4 4.8.7-12 [installed]
extra/qt5-base 5.8.0-2 (qt qt5) [installed]
extra/qt5-declarative 5.8.0-1 (qt qt5) [installed]
extra/qt5-location 5.8.0-1 (qt qt5) [installed]
extra/qt5-sensors 5.8.0-1 (qt qt5) [installed]
extra/qt5-svg 5.8.0-1 (qt qt5) [installed]
extra/qt5-tools 5.8.0-1 (qt qt5) [installed]
extra/qt5-webchannel 5.8.0-1 (qt qt5) [installed]
extra/qt5-webkit 5.8.0-1 (qt qt5) [installed]
extra/qt5-xmlpatterns 5.8.0-1 (qt qt5) [installed]
extra/qtwebkit 2.3.4-4 [installed]
extra/randrproto 1.5.0-1 [installed]
extra/re2 20170101-1 [installed]
core/readline 7.0.001-1 [installed]
extra/recordproto 1.14.2-2 [installed]
core/reiserfsprogs 3.6.25-1 (base) [installed]
extra/renderproto 0.11.1-3 [installed]
community/rlwrap 0.42-3 [installed]
extra/rsync 3.1.2-2 [installed]
